QRCode,Linha,OP,Produto,Sintoma,Origem,Qtd.,Usuário_Solicitante,Data.Solicitação,Hora.Solicitação,Usuário_Aprov/Reprov,Data.Aprovação,Hora.Aprovação,Status
29,9484,Cheese.Bridge,2298,200499000000394,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,1.0,Viuva.negra,01/11/2022,08:58:53,Luke.Skywalker,04/11/2022,09:49:05,Aprovado
30,9485,Cheese.Bridge,2298,200405000000313,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,2.0,Viuva.negra,01/11/2022,08:59:23,Luke.Skywalker,04/11/2022,09:49:06,Aprovado
31,9486,Cheese.Bridge,2298,20010101CAD0135,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,1.0,Viuva.negra,01/11/2022,09:00:41,Luke.Skywalker,04/11/2022,09:49:07,Aprovado
32,9487,Cheese.Bridge,2298,20010118CAD0016,COMPONENTE_FORA_DO_PADRÃO,Estrela.DaMorte,1.0,Viuva.negra,01/11/2022,09:01:10,Luke.Skywalker,04/11/2022,09:49:08,Aprovado
33,9488,Cheese.Bridge,2298,200212000000421,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,3.0,Viuva.negra,01/11/2022,09:06:45,Luke.Skywalker,04/11/2022,09:49:09,Aprovado
34,9489,Cheese.Bridge,2298,200212000000422,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,3.0,Viuva.negra,01/11/2022,09:07:23,Luke.Skywalker,04/11/2022,09:49:11,Aprovado
35,9490,Cheese.Bridge,2298,200212000000422,COMPONENTE_FORA_DO_PADRÃO,Estrela.DaMorte,1.0,Viuva.negra,01/11/2022,09:07:49,Luke.Skywalker,04/11/2022,09:49:13,Aprovado
36,9491,Cheese.Bridge,2298,300100070000372,COMPONENTE_FORA_DO_PADRÃO,Estrela.DaMorte,4.0,Viuva.negra,01/11/2022,09:08:19,Luke.Skywalker,04/11/2022,09:49:15,Aprovado
37,9492,Cheese.Bridge,2298,300100080000021,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,1.0,Viuva.negra,01/11/2022,09:08:51,Luke.Skywalker,04/11/2022,09:49:16,Aprovado
38,9493,Cheese.Bridge,2298,200209100000004,COMPONENTE_FORA_DO_PADRÃO,Estrela.DaMorte,1.0,Viuva.negra,01/11/2022,09:09:27,Luke.Skywalker,04/11/2022,09:49:17,Aprovado
39,9495,"Roys,Castle",2293,2002090100I0853,TOUCHSCREEN_NÃO_ATUA(TP),Fornecedor,5.0,Arlequina.Coringa,01/11/2022,09:54:04,Kerri.Green,01/11/2022,11:42:18,Aprovado
40,9496,"Roys,Castle",2293,2002090100I0853,TOUCHSCREEN_NÃO_ATUA(TP),Fornecedor,5.0,Arlequina.Coringa,01/11/2022,09:56:12,Kerri.Green,01/11/2022,11:42:19,Aprovado
41,9497,Front.Door,2279,2002090100I1071,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,1.0,Adão.Negro,01/11/2022,09:56:48,Kerri.Green,01/11/2022,14:36:04,Aprovado
42,9498,Front.Door,2279,2002090100I1071,FALHA_NA_SERIGRAFIA,Fornecedor,1.0,Adão.Negro,01/11/2022,09:58:20,Kerri.Green,01/11/2022,14:36:05,Aprovado
43,9499,"Roys,Castle",2293,2002090100I0853,GABINETE_FRONTAL_COM_RISCO,Fornecedor,2.0,Arlequina.Coringa,01/11/2022,09:58:41,Kerri.Green,01/11/2022,11:42:21,Aprovado
44,9500,Front.Door,2279,200212000000309,COMPONENTE_PSA_DANIFICADO,Estrela.DaMorte,1.0,Adão.Negro,01/11/2022,09:58:55,Kerri.Green,01/11/2022,14:36:22,Aprovado
45,9501,Front.Door,2279,2002090100I1071,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,2.0,Adão.Negro,01/11/2022,10:01:06,Kerri.Green,01/11/2022,14:36:25,Aprovado
46,9502,Front.Door,2279,501400000000028,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,7.0,Adão.Negro,01/11/2022,10:02:28,Kerri.Green,01/11/2022,14:36:28,Aprovado
47,9503,Front.Door,2279,502200000000007,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,2.0,Adão.Negro,01/11/2022,10:04:35,Kerri.Green,01/11/2022,14:36:31,Aprovado
